127.0.0.1 - - [12/Nov/2020:00:27:02 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:47 +0700] "GET /ClothesShop/resources/images/icons/favicon.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:28:00 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:28:06 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:28:12 +0700] "GET /ClothesShop/requestlogin?username=phuocnha&pass_word=1&request= HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:28:17 +0700] "GET /ClothesShop/getAccount;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:28:17 +0700] "GET /ClothesShop/getAccount;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:28:17 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:29:26 +0700] "GET /ClothesShop/requestlogin?username=NHA&pass_word=1&request= HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:29:34 +0700] "GET /ClothesShop/ HTTP/1.1" 200 33756
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:29:35 +0700] "GET /ClothesShop/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:29:35 +0700] "GET /ClothesShop/resources/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:29:35 +0700] "GET /ClothesShop/resources/js/login.js HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:29:35 +0700] "GET /ClothesShop/resources/images/icons/favicon.png HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:29:36 +0700] "GET /ClothesShop/requestlogout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:29:42 +0700] "GET /ClothesShop/getAccount HTTP/1.1" 404 682
